product_id,user_id,rating
7,38,1
7,17,5
6,12,5
2,3,3
6,9,1
3,19,5
6,7,5
1,23,4
1,48,5
2,33,5
5,43,3
1,39,4
5,38,2
1,12,3
3,18,1
7,4,3
3,24,2
4,44,5
6,4,1
4,33,3
5,31,5
3,29,3
6,21,2
3,27,2
5,29,3
7,47,1
6,5,3
5,28,3
1,48,3
4,28,5
1,2,1
3,37,1
5,36,3
3,48,2
4,24,3
7,23,2
3,8,5
2,17,3
2,1,2
7,10,3
3,32,5
7,46,2
6,2,1
1,44,5
1,2,5
4,12,1
2,17,1
1,27,2
5,5,5
4,28,4
7,18,1
3,34,3
6,40,1
6,32,1
1,24,3
6,28,1
7,6,2
5,50,3
1,32,2
3,40,4
7,10,2
7,28,4
5,35,2
2,33,3
2,47,1
2,13,4
2,43,2
1,29,4
4,43,1
7,23,3
1,50,2
5,29,5
6,24,1
1,30,2
3,47,3
7,23,2
6,43,5
7,24,2
3,29,1
6,35,5
3,32,1
1,47,2
6,12,1
4,31,2
7,13,4
7,49,3
7,37,1
5,16,5
6,35,2
3,27,1
4,43,1
6,42,2
7,7,4
1,17,3
2,17,1
4,36,1
5,47,1
2,27,2
1,48,3
7,19,2
7,28,3
1,34,4
1,33,1
1,28,2
2,24,1
5,35,2
6,48,1
4,30,5
3,45,4
6,11,1
5,2,3
2,24,3
4,40,4
6,48,4
2,13,5
6,30,2
6,14,4
5,13,4
6,11,1
2,22,3
6,47,5
5,11,5
1,14,3
5,33,3
6,49,5
4,43,5
1,42,4
6,50,3
2,50,3
6,18,5
7,50,1
4,32,1
3,31,2
7,1,1
7,30,4
4,20,5
5,19,5
4,21,4
6,41,3
4,15,5
3,20,2
1,14,5
4,31,4
7,11,1
6,20,4
5,36,3
2,17,3
3,42,1
4,39,5
7,42,5
3,6,2
4,18,5
1,40,1
5,1,5
7,13,5
3,34,3
6,21,3
7,6,1
1,12,1
1,47,5
7,2,1
4,41,5
3,40,5
2,39,1
6,10,1
4,25,2
4,12,3
5,40,3
2,4,3
3,22,5
4,3,4
2,30,1
3,45,1
3,11,4
2,29,3
4,45,3
6,42,3
3,21,3
6,39,1
2,48,4
2,39,2
2,41,3
3,33,2
2,7,4
7,42,3
2,26,4
4,49,5
6,13,2
6,38,3
3,23,2
1,46,5
2,48,3
7,39,2
3,17,1
5,40,2
3,29,5
4,50,5
1,33,4
2,50,5
5,13,3
2,25,2
5,15,3
6,40,3
1,35,5
5,43,4
1,31,1
5,17,5
7,26,4
7,4,5
5,1,4
5,40,1
3,24,5
3,50,5
1,11,1
4,30,2
4,12,1
2,39,2
5,4,4
6,38,4
7,46,2
4,10,2
4,2,5
4,15,4
4,3,5
5,34,2
2,2,3
5,22,5
6,36,1
1,33,4
5,29,1
2,7,2
2,33,1
1,45,1
2,19,5
6,7,2
5,40,1
6,46,1
6,23,3
3,11,3
5,50,1
2,45,5
3,39,5
2,46,4
1,21,4
6,48,5
5,23,5
7,44,4
6,42,1
3,27,1
2,39,1
6,40,5
1,8,5
5,17,1
5,19,5
6,15,2
5,19,2
1,11,4
7,32,4
3,34,5
2,19,3
2,29,5
4,26,1
7,2,1
4,49,1
4,42,1
2,4,4
4,16,3
5,6,3
4,12,5
2,41,3
2,9,4
3,22,5
2,30,4
5,24,4
2,49,3
1,36,3
7,48,3
1,37,2
4,8,3
7,49,3
5,42,5
6,38,2
2,50,5
6,46,2
3,33,2
5,34,4
5,40,3
2,2,2
7,41,5
7,9,4
4,46,3
4,30,5
2,33,1
7,26,1
5,24,4
4,29,5
7,32,5
7,32,5
1,21,2
2,5,4
1,3,3
7,32,3
6,25,1
3,37,5
3,3,4
5,36,4
3,18,2
1,1,5
3,43,4
2,21,4
1,26,4
2,28,1
4,33,4
1,27,3
1,50,2
6,2,1
2,37,2
7,39,2
7,17,3
7,49,5
2,26,3
